Disease,Gene,Gene_Name,Age_Of_Onset,Inheritance_Type
MERRF,MT-TK,mitochondrially encoded tRNA-Lys (AAA/G),"Adult, Childhood",Mitochondrial inheritance
MERRF,MT-RNR1,mitochondrially encoded 12S rRNA,"Adult, Childhood",Mitochondrial inheritance
MERRF,MT-TQ,mitochondrially encoded tRNA-Gln (CAA/G),"Adult, Childhood",Mitochondrial inheritance
MERRF,MT-TH,mitochondrially encoded tRNA-His (CAU/C),"Adult, Childhood",Mitochondrial inheritance
MERRF,MT-TS1,mitochondrially encoded tRNA-Ser (UCN) 1,"Adult, Childhood",Mitochondrial inheritance
MERRF,MT-TS2,mitochondrially encoded tRNA-Ser (AGU/C) 2,"Adult, Childhood",Mitochondrial inheritance
MERRF,MT-TF,mitochondrially encoded tRNA-Phe (UUU/C),"Adult, Childhood",Mitochondrial inheritance
Central core disease,RYR1,ryanodine receptor 1,Childhood,Autosomal dominant
Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,SOX10,SRY-box transcription factor 10,"Infancy, Neonatal",Autosomal dominant
Paramyotonia congenita of Von Eulenburg,SCN4A,sodium voltage-gated channel alpha subunit 4,"Adolescent, Childhood, Infancy, Neonatal",Autosomal dominant
Acrodermatitis continua of Hallopeau,IL36RN,interleukin 36 receptor antagonist,Adult,Autosomal recessive
Acrodermatitis continua of Hallopeau,AP1S3,adaptor related protein complex 1 subunit sigma 3,Adult,Autosomal recessive
Pustulosis palmaris et plantaris,IL36RN,interleukin 36 receptor antagonist,,"Autosomal dominant, Autosomal recessive"
Pustulosis palmaris et plantaris,AP1S3,adaptor related protein complex 1 subunit sigma 3,,"Autosomal dominant, Autosomal recessive"
"X-linked intellectual disability, Najm type",CASK,calcium/calmodulin dependent serine protein kinase,"Infancy, Neonatal",X-linked dominant
Thomsen and Becker disease,CLCN1,chloride voltage-gated channel 1,"Adolescent, Adult, Childhood, Infancy","Autosomal dominant, Autosomal recessive"
"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",HDAC6,histone deacetylase 6,"Infancy, Neonatal",X-linked dominant
"X-linked intellectual disability, Van Esch type",POLA1,"DNA polymerase alpha 1, catalytic subunit","Infancy, Neonatal",X-linked recessive
"X-linked intellectual disability, Nascimento type",UBE2A,ubiquitin conjugating enzyme E2 A,Infancy,X-linked recessive
Fabry disease,GLA,galactosidase alpha,"Adolescent, Adult, Childhood","X-linked dominant, X-linked recessive"
Hyperekplexia-epilepsy syndrome,ARHGEF9,Cdc42 guanine nucleotide exchange factor 9,Neonatal,X-linked recessive
Rett syndrome,MECP2,methyl-CpG binding protein 2,Infancy,X-linked dominant
Juvenile myoclonic epilepsy,CILK1,ciliogenesis associated kinase 1,"Adolescent, Childhood",Multigenic/multifactorial
Juvenile myoclonic epilepsy,CACNB4,calcium voltage-gated channel auxiliary subunit beta 4,"Adolescent, Childhood",Multigenic/multifactorial
Juvenile myoclonic epilepsy,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1,"Adolescent, Childhood",Multigenic/multifactorial
Juvenile myoclonic epilepsy,EFHC1,EF-hand domain containing 1,"Adolescent, Childhood",Multigenic/multifactorial
Juvenile myoclonic epilepsy,GABRD,gamma-aminobutyric acid type A receptor subunit delta,"Adolescent, Childhood",Multigenic/multifactorial
Juvenile myoclonic epilepsy,KCNQ3,potassium voltage-gated channel subfamily Q member 3,"Adolescent, Childhood",Multigenic/multifactorial
Juvenile myoclonic epilepsy,JRK,Jrk helix-turn-helix protein,"Adolescent, Childhood",Multigenic/multifactorial
Juvenile myoclonic epilepsy,CLCN2,chloride voltage-gated channel 2,"Adolescent, Childhood",Multigenic/multifactorial
Juvenile absence epilepsy,EFHC1,EF-hand domain containing 1,Adolescent,"Multigenic/multifactorial, Unknown"
Von Hippel-Lindau disease,CCND1,cyclin D1,"Adolescent, Adult, Childhood",Autosomal dominant
Von Hippel-Lindau disease,VHL,von Hippel-Lindau tumor suppressor,"Adolescent, Adult, Childhood",Autosomal dominant
Autosomal recessive polycystic kidney disease,DZIP1L,DAZ interacting zinc finger protein 1 like,All ages,Autosomal recessive
Autosomal recessive polycystic kidney disease,PKHD1,PKHD1 ciliary IPT domain containing fibrocystin/polyductin,All ages,Autosomal recessive
Familial advanced sleep-phase syndrome,PER3,period circadian regulator 3,"Adolescent, Childhood",Autosomal dominant
Familial advanced sleep-phase syndrome,CSNK1D,casein kinase 1 delta,"Adolescent, Childhood",Autosomal dominant
Familial advanced sleep-phase syndrome,PER2,period circadian regulator 2,"Adolescent, Childhood",Autosomal dominant
CHARGE syndrome,SEMA3E,semaphorin 3E,"Antenatal, Neonatal","Autosomal dominant, Unknown"
CHARGE syndrome,CHD7,chromodomain helicase DNA binding protein 7,"Antenatal, Neonatal","Autosomal dominant, Unknown"
Amyotrophic lateral sclerosis,CCNF,cyclin F,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,TAF15,TATA-box binding protein associated factor 15,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,ANXA11,annexin A11,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,CFAP410,cilia and flagella associated protein 410,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,GLE1,GLE1 RNA export mediator,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,NEK1,NIMA related kinase 1,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,GLT8D1,glycosyltransferase 8 domain containing 1,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,CHCHD10,coiled-coil-helix-coiled-coil-helix domain containing 10,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,DAO,D-amino acid oxidase,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,ATXN2,ataxin 2,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,CHMP2B,charged multivesicular body protein 2B,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,SOD1,superoxide dismutase 1,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,TREM2,triggering receptor expressed on myeloid cells 2,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,VAPB,VAMP associated protein B and C,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,VCP,valosin containing protein,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,NEFH,neurofilament heavy chain,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,OPTN,optineurin,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,DCTN1,dynactin subunit 1,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,TARDBP,TAR DNA binding protein,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,FIG4,FIG4 phosphoinositide 5-phosphatase,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,FUS,FUS RNA binding protein,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,ANG,angiogenin,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,MATR3,matrin 3,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,PRPH,peripherin,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,PON1,paraoxonase 1,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,PON2,paraoxonase 2,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,PON3,paraoxonase 3,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,SQSTM1,sequestosome 1,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,UBQLN2,ubiquilin 2,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,C9ORF72,C9orf72-SMCR8 complex subunit,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,PFN1,profilin 1,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,TBK1,TANK binding kinase 1,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,HNRNPA1,heterogeneous nuclear ribonucleoprotein A1,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,PPARGC1A,PPARG coactivator 1 alpha,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,ERBB4,erb-b2 receptor tyrosine kinase 4,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Amyotrophic lateral sclerosis,UNC13A,unc-13 homolog A,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
Ataxia-telangiectasia,ATM,ATM serine/threonine kinase,"Childhood, Infancy",Autosomal recessive
Huntington disease,HTT,huntingtin,"Adolescent, Adult, Childhood, Elderly",Autosomal dominant
Huntington disease,SLC2A3,solute carrier family 2 member 3,"Adolescent, Adult, Childhood, Elderly",Autosomal dominant
Lafora disease,EPM2A,"EPM2A glucan phosphatase, laforin","Adolescent, Childhood",Autosomal recessive
Lafora disease,NHLRC1,NHL repeat containing E3 ubiquitin protein ligase 1,"Adolescent, Childhood",Autosomal recessive
22q11.2 deletion syndrome,TBX1,T-box transcription factor 1,All ages,Autosomal dominant
22q11.2 deletion syndrome,ARVCF,ARVCF delta catenin family member,All ages,Autosomal dominant
22q11.2 deletion syndrome,GP1BB,glycoprotein Ib platelet subunit beta,All ages,Autosomal dominant
22q11.2 deletion syndrome,UFD1,ubiquitin recognition factor in ER associated degradation 1,All ages,Autosomal dominant
22q11.2 deletion syndrome,HIRA,histone cell cycle regulator,All ages,Autosomal dominant
22q11.2 deletion syndrome,COMT,catechol-O-methyltransferase,All ages,Autosomal dominant
22q11.2 deletion syndrome,JMJD1C,jumonji domain containing 1C,All ages,Autosomal dominant
22q11.2 deletion syndrome,RREB1,ras responsive element binding protein 1,All ages,Autosomal dominant
22q11.2 deletion syndrome,SEC24C,"SEC24 homolog C, COPII component",All ages,Autosomal dominant
Sickle cell anemia,HBB,hemoglobin subunit beta,All ages,Autosomal recessive
Systemic lupus erythematosus,BANK1,B cell scaffold protein with ankyrin repeats 1,"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,PXK,PX domain containing serine/threonine kinase like,"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker),"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,CTLA4,cytotoxic T-lymphocyte associated protein 4,"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,TREX1,three prime repair exonuclease 1,"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,HLA-DRB1,"major histocompatibility complex, class II, DR beta 1","Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,IL10,interleukin 10,"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,MECP2,methyl-CpG binding protein 2,"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,FCGR3B,Fc fragment of IgG receptor IIIb,"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,C4A,complement C4A (Chido/Rodgers blood group),"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,C4B,complement C4B (Chido/Rodgers blood group),"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,CR2,complement C3d receptor 2,"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,IRF5,interferon regulatory factor 5,"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,PDCD1,programmed cell death 1,"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,PTPN22,protein tyrosine phosphatase non-receptor type 22,"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,STAT4,signal transducer and activator of transcription 4,"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,FCGR2B,Fc fragment of IgG receptor IIb,"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,DNASE1,deoxyribonuclease 1,"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,BLK,"BLK proto-oncogene, Src family tyrosine kinase","Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,ITGAM,integrin subunit alpha M,"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,KIAA0319L,KIAA0319 like,"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,JAZF1,JAZF zinc finger 1,"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,TNIP1,TNFAIP3 interacting protein 1,"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,TNFAIP3,TNF alpha induced protein 3,"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,UBE2L3,ubiquitin conjugating enzyme E2 L3,"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,TNFSF4,TNF superfamily member 4,"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,SPP1,secreted phosphoprotein 1,"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,IRAK1,interleukin 1 receptor associated kinase 1,"Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,ETS1,"ETS proto-oncogene 1, transcription factor","Adolescent, Adult, Childhood, Infancy",Not applicable
Systemic lupus erythematosus,TLR7,toll like receptor 7,"Adolescent, Adult, Childhood, Infancy",Not applicable
Multiple epiphyseal dysplasia due to collagen 9 anomaly,COL9A1,collagen type IX alpha 1 chain,"Adolescent, Childhood",Autosomal dominant
Multiple epiphyseal dysplasia due to collagen 9 anomaly,COL9A2,collagen type IX alpha 2 chain,"Adolescent, Childhood",Autosomal dominant
Multiple epiphyseal dysplasia due to collagen 9 anomaly,COL9A3,collagen type IX alpha 3 chain,"Adolescent, Childhood",Autosomal dominant
Oculocerebrorenal syndrome of Lowe,OCRL,OCRL inositol polyphosphate-5-phosphatase,"Antenatal, Neonatal",X-linked recessive
Exercise-induced hyperinsulinism,SLC16A1,solute carrier family 16 member 1,"Adolescent, Adult",Autosomal dominant
Multiple endocrine neoplasia type 1,CDKN1B,cyclin dependent kinase inhibitor 1B,All ages,"Autosomal dominant, Not applicable"
Multiple endocrine neoplasia type 1,CDKN2B,cyclin dependent kinase inhibitor 2B,All ages,"Autosomal dominant, Not applicable"
Multiple endocrine neoplasia type 1,MEN1,menin 1,All ages,"Autosomal dominant, Not applicable"
Fragile X syndrome,FMR1,fragile X messenger ribonucleoprotein 1,"Childhood, Infancy, Neonatal",X-linked dominant
X-linked agammaglobulinemia,BTK,Bruton tyrosine kinase,Childhood,X-linked recessive
Wilson disease,ATP7B,ATPase copper transporting beta,"Adolescent, Adult, Childhood, Elderly",Autosomal recessive
X-linked retinoschisis,RS1,retinoschisin 1,"Adolescent, Adult, Childhood, Infancy",X-linked recessive
Stargardt disease,CNGB3,cyclic nucleotide gated channel subunit beta 3,"Adolescent, Adult, Childhood, Elderly","Autosomal dominant, Autosomal recessive"
Stargardt disease,PRPH2,peripherin 2,"Adolescent, Adult, Childhood, Elderly","Autosomal dominant, Autosomal recessive"
Stargardt disease,ABCA4,ATP binding cassette subfamily A member 4,"Adolescent, Adult, Childhood, Elderly","Autosomal dominant, Autosomal recessive"
Stargardt disease,ELOVL4,ELOVL fatty acid elongase 4,"Adolescent, Adult, Childhood, Elderly","Autosomal dominant, Autosomal recessive"
Stargardt disease,PROM1,prominin 1,"Adolescent, Adult, Childhood, Elderly","Autosomal dominant, Autosomal recessive"
Wiskott-Aldrich syndrome,WAS,WASP actin nucleation promoting factor,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable, X-linked recessive"
Williams syndrome,STX1A,syntaxin 1A,"Antenatal, Neonatal",Autosomal dominant
Williams syndrome,TBL2,transducin beta like 2,"Antenatal, Neonatal",Autosomal dominant
Williams syndrome,GTF2IRD2,GTF2I repeat domain containing 2,"Antenatal, Neonatal",Autosomal dominant
Williams syndrome,VPS37D,VPS37D subunit of ESCRT-I,"Antenatal, Neonatal",Autosomal dominant
Williams syndrome,FKBP6,FKBP prolyl isomerase family member 6 (inactive),"Antenatal, Neonatal",Autosomal dominant
Williams syndrome,RFC2,replication factor C subunit 2,"Antenatal, Neonatal",Autosomal dominant
Williams syndrome,NCF1,neutrophil cytosolic factor 1,"Antenatal, Neonatal",Autosomal dominant
Williams syndrome,TMEM270,transmembrane protein 270,"Antenatal, Neonatal",Autosomal dominant
Williams syndrome,EIF4H,eukaryotic translation initiation factor 4H,"Antenatal, Neonatal",Autosomal dominant
Williams syndrome,DNAJC30,DnaJ heat shock protein family (Hsp40) member C30,"Antenatal, Neonatal",Autosomal dominant
Williams syndrome,METTL27,methyltransferase like 27,"Antenatal, Neonatal",Autosomal dominant
Williams syndrome,BUD23,BUD23 rRNA methyltransferase and ribosome maturation factor,"Antenatal, Neonatal",Autosomal dominant
Williams syndrome,BAZ1B,bromodomain adjacent to zinc finger domain 1B,"Antenatal, Neonatal",Autosomal dominant
